Date,Open,High,Low,Close,Adj Close,Volume,CryptoName 
10/8/2019,"7,516,129,395","7,590,028,809","7,471,833,496","7,508,353,027","7,508,353,027",14227161316,ETH
10/9/2019,"7,509,317,871","7,859,175,781","7,452,042,480","7,824,074,707","7,824,074,707",17644697905,BTC
10/10/2019,"7,814,553,711","7,829,591,309","7,686,712,402","7,798,226,563","7,798,226,563",16001250003,BTC
10/11/2019,"7,797,126,953","7,918,094,727","7,533,462,402","7,538,513,184","7,538,513,184",17759216752,BTC
10/12/2019,"7,532,994,141","7,625,808,105","7,530,889,648","7,554,502,930","7,554,502,930",13169334496,BTC
10/13/2019,"7,554,817,383","7,676,477,051","7,500,903,320","7,545,005,371","7,545,005,371",12520552918,ETH
10/14/2019,"7,544,848,145","7,607,931,152","7,512,480,957","7,595,379,883","7,595,379,883",13741475462,BTC
10/15/2019,"7,594,266,113","7,628,694,824","7,416,805,176","7,435,968,262","7,435,968,262",13793224980,ETH
10/16/2019,"7,435,338,379","7,435,196,289","7,210,536,133","7,266,731,445","7,266,731,445",14512327589,ETH
10/17/2019,"7,266,989,746","7,309,072,754","7,223,971,191","7,284,273,438","7,284,273,438",12865415827,BTC
10/18/2019,"7,281,597,168","7,316,352,539","7,101,643,066","7,138,117,676","7,138,117,676",14012291755,BTC
10/19/2019,"7,138,651,367","7,236,079,102","7,112,665,039","7,151,862,793","7,151,862,793",12352682776,ETH
10/20/2019,"7,160,140,625","7,421,064,453","7,116,838,867","7,370,443,848","7,370,443,848",13898334789,ETH
10/21/2019,"7,373,166,016","7,445,893,066","7,348,234,863","7,392,276,855","7,392,276,855",14229761008,BTC
10/22/2019,"7,391,990,723","7,445,141,113","7,255,712,402","7,259,024,902","7,259,024,902",15099414522,ETH
10/23/2019,"7,257,250,488","7,274,659,668","6,708,871,094","6,750,249,512","6,750,249,512",19710761538,ETH
10/24/2019,"6,745,808,594","6,767,166,504","6,689,853,027","6,748,621,094","6,748,621,094",14651566652,ETH
10/25/2019,"6,746,112,305","7,845,340,332","6,736,084,961","7,816,342,773","7,816,342,773",25906522539,ETH
10/26/2019,"7,822,548,828","9,044,624,023","7,818,016,602","8,343,458,008","8,343,458,008",40157247739,BTC
10/27/2019,"8,340,511,719","8,798,814,453","8,223,941,406","8,617,566,406","8,617,566,406",29405554029,ETH
10/28/2019,"8,629,644,531","8,850,374,023","8,340,048,828","8,340,048,828","8,340,048,828",27885244605,ETH
10/29/2019,"8,333,103,516","8,577,390,625","8,309,724,609","8,483,099,609","8,483,099,609",25578615575,ETH
10/30/2019,"8,478,398,438","8,482,367,188","8,170,736,816","8,253,669,922","8,253,669,922",24841122082,BTC
10/31/2019,"8,250,739,258","8,403,746,094","8,083,826,172","8,245,560,547","8,245,560,547",23826849281,ETH
11/1/2019,"8,240,547,852","8,305,386,719","8,179,647,949","8,292,355,469","8,292,355,469",21780231051,BTC
11/2/2019,"8,291,172,852","8,397,126,953","8,282,043,945","8,349,874,023","8,349,874,023",19021882025,ETH
11/3/2019,"8,349,936,523","8,399,204,102","8,185,588,867","8,270,445,313","8,270,445,313",18924326413,BTC
11/4/2019,"8,270,670,898","8,541,182,617","8,229,090,820","8,458,521,484","8,458,521,484",23517560013,ETH
11/5/2019,"8,458,875,000","8,501,207,031","8,314,557,617","8,436,573,242","8,436,573,242",23658103730,BTC
11/6/2019,"8,435,071,289","8,507,759,766","8,406,028,320","8,456,394,531","8,456,394,531",20898606220,BTC
11/7/2019,"8,448,727,539","8,464,596,680","8,326,859,375","8,385,039,063","8,385,039,063",20538694387,ETH
11/8/2019,"8,383,054,688","8,392,014,648","7,958,786,133","7,990,455,566","7,990,455,566",22082304835,BTC
11/9/2019,"7,994,619,629","8,069,351,563","7,979,822,266","7,998,572,754","7,998,572,754",15953099477,BTC
11/10/2019,"7,997,581,055","8,260,884,766","7,991,838,867","8,215,490,234","8,215,490,234",18678081493,ETH
11/11/2019,"8,216,752,930","8,241,079,102","7,888,772,461","7,936,010,254","7,936,010,254",18363916828,ETH
11/12/2019,"7,937,789,551","8,040,514,160","7,886,742,188","8,005,502,930","8,005,502,930",18443301326,BTC
11/13/2019,"8,002,207,520","8,023,834,473","7,955,044,922","8,000,457,031","8,000,457,031",15936634176,ETH
11/14/2019,"8,003,793,457","8,016,621,582","7,886,230,957","7,902,334,961","7,902,334,961",17318828985,ETH
11/15/2019,"7,900,168,945","7,924,184,570","7,676,111,328","7,684,157,227","7,684,157,227",19723343312,ETH
11/16/2019,"7,683,410,156","7,774,648,926","7,667,853,516","7,737,335,449","7,737,335,449",14926199871,ETH
